panel,signal,vehicle,estimator,gate,start,days,Sharpe,Martin,MaxDD,CAGR,RealVol,|vol-target|,TrackRMSE63,Turnover/yr,MeanW
P1 1x,EFA,EFA,E0 EWMA c2c,none,2007-08-28,4785,0.16720705915905804,0.2524082118724136,-0.2430669963765102,0.02657065078120402,0.10044861709157929,0.0004486170915792842,0.015530551704526807,2.0257380902803437,0.6337960496745274
P1 1x,EFA,EFA,E0 EWMA c2c,trend,2007-08-28,4785,0.2739583755312446,0.45054101176136324,-0.16748279198439964,0.033529381199044916,0.07891100934569957,0.021088990654300435,0.05770241164237135,1.7644893223118703,0.4301314658436206
P1 1x,EFA,EFA,E1 Yang-Zhang 21,none,2007-08-28,4785,0.1822446106225041,0.25567730288603324,-0.2628255526061529,0.028424970795726923,0.10412589820927963,0.004125898209279624,0.016241836638317138,2.2132715878102496,0.6575704557507044
P1 1x,EFA,EFA,E1 Yang-Zhang 21,trend,2007-08-28,4785,0.29528566765138453,0.5059081706133236,-0.15833400416797283,0.03575380535321493,0.08107572738811157,0.018924272611888435,0.057802351699694665,1.858367319846254,0.44348894721745474
P1 1x,EFA,EFA,E2 Parkinson EWMA,none,2007-08-28,4785,0.2377796893815312,0.29139919818361987,-0.3532397936671078,0.03892971142248003,0.142657459595656,0.042657459595656005,0.05177685029871525,1.1071972745488345,0.8497685868845487
P1 1x,EFA,EFA,E2 Parkinson EWMA,trend,2007-08-28,4785,0.28925800462361284,0.4771529849758474,-0.2155125314850187,0.040688636031464664,0.10805284544497298,0.008052845444972978,0.06535380936865429,1.3487164400629243,0.558828715692263
P1 1x,EFA,EFA,E3 K-ATR fast,none,2007-08-28,4785,0.21162391222607774,0.25234511204796106,-0.3313324643107378,0.03397713206195463,0.12858795531593253,0.02858795531593253,0.03422099190045632,8.222409358391145,0.8108147009801642
P1 1x,EFA,EFA,E3 K-ATR fast,trend,2007-08-28,4785,0.25084462583817935,0.35245796862584033,-0.2248597184770672,0.035156672132944156,0.09998693640321478,1.3063596785226061e-05,0.06107827784659018,5.5210836131407826,0.537290914355091
P1 1x,EFA,EFA,E4 Yang-Zhang EWMA,none,2007-08-28,4785,0.1727959490868393,0.25097101566671964,-0.25793887597291165,0.0271530741195547,0.10052390705789237,0.0005239070578923616,0.017348939720479406,1.68550840933244,0.6333151920312783
P1 1x,EFA,EFA,E4 Yang-Zhang EWMA,trend,2007-08-28,4785,0.25445457602902566,0.4272733067179176,-0.16408382386311238,0.03191757798966788,0.07878526347152412,0.021214736528475886,0.05804700948671427,1.560106294882469,0.43058831179572993
