vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P1 XLK,A: both k=1,B_bear_2022,,,-0.021070507967141605,,modern_folds,0.002056519840363258,2022-01-03,2022-01-07,,-0.021070507967141605,5.0,0.38383470570541023,P1
P1 XLK,A: both k=1,E2007_09_gfc,,,-0.07336207674494544,,market_factor_A0_calendar,-0.011755032315478031,2007-10-31,2008-01-09,2007-12-03,-0.05377380491866224,48.0,0.672957428489047,P1
P1 XLK,A: both k=1,E2011_eu_us,,,-0.07104806287943854,,market_factor_A0_calendar,-0.030142501967830304,2011-05-10,2011-08-19,2011-08-04,-0.06022101744530828,72.0,0.8483406788567187,P1
P1 XLK,A: both k=1,E2015_16_china,,,-0.03393396095417789,,market_factor_A0_calendar,-0.03180580118906551,2015-06-01,2015-11-16,2015-06-17,-0.018317259833874444,119.0,0.6997921377974184,P1
P1 XLK,A: both k=1,K2013_14_bull,,,-0.044493544727322476,,calm_controls,0.21461757127638315,2014-01-15,2014-02-03,,-0.044493544727322476,13.0,0.8697503641363318,P1
P1 XLK,A: both k=1,A_bull_2021,,,-0.044062869911257074,,calm_controls,0.12066387335736195,2021-02-12,2021-03-08,,-0.044062869911257074,16.0,0.5136289791815584,P1
P1 XLK,A: both k=1,D_recent_2025plus,,,-0.07051504081771398,,calm_controls,0.2965424701407178,2026-01-28,2026-03-30,,-0.07051504081771398,43.0,0.5622044845095562,P1
P1 XLK,A: switch k=1,FULL,0.7335229666502967,2.0809811031392984,-0.10389417542459689,2.393184121614075,,,,,,,,,P1
P1 XLK,A: switch k=1,E_bear_2018q4,,,-0.07737836973857959,,modern_folds,-0.04145143997439371,2018-10-03,2018-10-11,2018-10-11,-0.07737836973857959,7.0,0.9564556916733313,P1
P1 XLK,A: switch k=1,X_2020_covid,,,-0.0852320433145829,,modern_folds,0.09089445222235604,2020-02-19,2020-04-21,2020-03-03,-0.071492964162582,44.0,0.5568350131476418,P1
P1 XLK,A: switch k=1,B_bear_2022,,,-0.02107652148264605,,modern_folds,0.0010571797171874397,2022-01-03,2022-01-07,,-0.02107652148264605,5.0,0.3839446473676471,P1
P1 XLK,A: switch k=1,E2007_09_gfc,,,-0.07824948394839815,,market_factor_A0_calendar,-0.01906295971260641,2007-10-31,2008-01-09,2007-12-03,-0.05856422214703361,48.0,0.6843870950367977,P1
P1 XLK,A: switch k=1,E2011_eu_us,,,-0.086149147916594,,market_factor_A0_calendar,-0.04602944883913174,2011-05-10,2011-08-19,2011-08-05,-0.06386458096983605,72.0,0.8486942843485389,P1
P1 XLK,A: switch k=1,E2015_16_china,,,-0.032953036660261836,,market_factor_A0_calendar,-0.030887272776758512,2015-06-01,2015-11-16,2015-06-17,-0.017763360799645356,119.0,0.6785857893877233,P1
P1 XLK,A: switch k=1,K2013_14_bull,,,-0.04683684640869379,,calm_controls,0.20967999388662384,2013-05-17,2013-06-24,,-0.04683684640869379,26.0,0.830002835933788,P1
P1 XLK,A: switch k=1,A_bull_2021,,,-0.04888460304317732,,calm_controls,0.13054268684670212,2021-08-30,2021-09-30,,-0.04888460304317732,23.0,0.8520227928601892,P1
P1 XLK,A: switch k=1,D_recent_2025plus,,,-0.07466941958466833,,calm_controls,0.2784564218200061,2025-10-29,2026-03-30,,-0.07466941958466833,104.0,0.49196394793002896,P1
P1 XLK,A: sizer k=1,FULL,0.8316734462198284,2.463887900179265,-0.10841765207040788,2.4579454694895793,,,,,,,,,P1
P1 XLK,A: sizer k=1,E_bear_2018q4,,,-0.06384352304732677,,modern_folds,-0.03934793571712991,2018-10-03,2018-10-25,2018-10-10,-0.05253096656706946,17.0,0.9865116862635365,P1
P1 XLK,A: sizer k=1,X_2020_covid,,,-0.08131286225202428,,modern_folds,0.10579858194617642,2020-02-19,2020-04-21,2020-03-03,-0.060220514620645815,44.0,0.5499559706233651,P1
P1 XLK,A: sizer k=1,B_bear_2022,,,-0.025544476553319928,,modern_folds,-0.00943083737016781,2022-01-03,2022-01-14,2022-01-14,-0.025544476553319928,10.0,0.38383470570541023,P1
P1 XLK,A: sizer k=1,E2007_09_gfc,,,-0.08218188037211183,,market_factor_A0_calendar,-0.022816483473670934,2007-10-31,2008-01-08,2007-12-04,-0.05377380491866224,47.0,0.672957428489047,P1
P1 XLK,A: sizer k=1,E2011_eu_us,,,-0.07104806287943854,,market_factor_A0_calendar,-0.030142501967830304,2011-05-10,2011-08-19,2011-08-04,-0.06022101744530828,72.0,0.8483406788567187,P1
P1 XLK,A: sizer k=1,E2015_16_china,,,-0.03212339190250524,,market_factor_A0_calendar,-0.022077703625615563,2015-06-01,2015-11-13,2015-06-18,-0.018833219120556133,118.0,0.7195484825844394,P1
P1 XLK,A: sizer k=1,K2013_14_bull,,,-0.044493544727322476,,calm_controls,0.2155633481221444,2014-01-15,2014-02-03,,-0.044493544727322476,13.0,0.8697503641363318,P1
P1 XLK,A: sizer k=1,A_bull_2021,,,-0.049617591448239406,,calm_controls,0.10683295967449458,2021-08-30,2021-11-01,2021-10-05,-0.04815649152259516,45.0,0.789856988246497,P1
P1 XLK,A: sizer k=1,D_recent_2025plus,,,-0.07051504081771365,,calm_controls,0.2828500116724819,2026-01-28,2026-03-30,,-0.07051504081771365,43.0,0.5622044845095562,P1
P1 XLK,A: both k=5,FULL,1.221778214336024,4.730779188332535,-0.1054653344045241,2.438777580625392,,,,,,,,,P1
P1 XLK,A: both k=5,E_bear_2018q4,,,-0.03857478622268884,,modern_folds,0.010513697928520305,2018-10-03,2018-10-11,2018-10-10,-0.03425129762651169,7.0,0.8383148346409206,P1
P1 XLK,A: both k=5,X_2020_covid,,,-0.043096181634372344,,modern_folds,0.16946792777506836,2020-09-02,2020-10-30,,-0.043096181634372344,42.0,0.2836586145736489,P1
P1 XLK,A: both k=5,B_bear_2022,,,-0.01862696168829925,,modern_folds,-0.002367045325929573,2022-01-03,2022-01-07,2022-01-07,-0.01862696168829925,5.0,0.38724746058766746,P1
P1 XLK,A: both k=5,E2007_09_gfc,,,-0.04757943364625972,,market_factor_A0_calendar,0.03497849441685652,2007-10-31,2008-01-03,2007-11-27,-0.04327701202835321,44.0,0.6858981731133221,P1
P1 XLK,A: both k=5,E2011_eu_us,,,-0.06739237901172879,,market_factor_A0_calendar,-0.02437595607424259,2011-05-10,2011-08-19,2011-07-29,-0.06513426043506854,72.0,0.8478696629684265,P1
P1 XLK,A: both k=5,E2015_16_china,,,-0.018285481789958924,,market_factor_A0_calendar,0.013730396306081305,2015-06-01,2015-06-09,,-0.018285481789958924,7.0,0.6985754204086901,P1
P1 XLK,A: both k=5,K2013_14_bull,,,-0.04277389272545662,,calm_controls,0.22993961300816523,2013-05-17,2013-06-24,,-0.04277389272545662,26.0,0.810411661859833,P1
P1 XLK,A: both k=5,A_bull_2021,,,-0.04042379217004066,,calm_controls,0.16592299177751602,2021-02-12,2021-03-08,,-0.04042379217004066,16.0,0.5275671513947331,P1
P1 XLK,A: both k=5,D_recent_2025plus,,,-0.056682866140212784,,calm_controls,0.3332055378179295,2025-10-29,2026-03-30,,-0.056682866140212784,104.0,0.48610065235488475,P1
P1 XLK,A: switch k=5,FULL,0.9062828380657061,2.955136259696439,-0.10389417542459689,2.436548743647118,,,,,,,,,P1
P1 XLK,A: switch k=5,E_bear_2018q4,,,-0.07737836973857959,,modern_folds,-0.029483730930060736,2018-10-03,2018-10-11,2018-10-11,-0.07737836973857959,7.0,0.9564556916733313,P1
P1 XLK,A: switch k=5,X_2020_covid,,,-0.071492964162582,,modern_folds,0.12577511624137605,2020-02-19,2020-02-27,,-0.071492964162582,7.0,0.5568350131476418,P1
P1 XLK,A: switch k=5,B_bear_2022,,,-0.01800268153056972,,modern_folds,-0.0017633029442420955,2022-01-03,2022-01-07,2022-01-07,-0.01800268153056972,5.0,0.3839446473676471,P1
P1 XLK,A: switch k=5,E2007_09_gfc,,,-0.06599485422673168,,market_factor_A0_calendar,0.01295765688583872,2007-10-31,2008-01-03,2007-11-27,-0.058661646725906014,44.0,0.6843870950367977,P1
P1 XLK,A: switch k=5,E2011_eu_us,,,-0.086149147916594,,market_factor_A0_calendar,-0.04602944883913174,2011-05-10,2011-08-19,2011-08-05,-0.06386458096983605,72.0,0.8486942843485389,P1
P1 XLK,A: switch k=5,E2015_16_china,,,-0.019745146015338166,,market_factor_A0_calendar,0.014195113851033225,2015-06-01,2015-06-09,,-0.019745146015338166,7.0,0.7544726267662999,P1
P1 XLK,A: switch k=5,K2013_14_bull,,,-0.04683684640869379,,calm_controls,0.20492815621927107,2013-05-17,2013-06-24,,-0.04683684640869379,26.0,0.830002835933788,P1
P1 XLK,A: switch k=5,A_bull_2021,,,-0.047468615035407224,,calm_controls,0.15862247895876913,2021-02-12,2021-03-08,,-0.047468615035407224,16.0,0.4745462729737596,P1
P1 XLK,A: switch k=5,D_recent_2025plus,,,-0.07466941958466866,,calm_controls,0.2886698894625559,2025-10-29,2026-03-30,,-0.07466941958466866,104.0,0.49196394793002896,P1
P1 XLK,A: sizer k=5,FULL,0.9991208457574751,3.271864397283724,-0.10546533440452455,2.481858938933896,,,,,,,,,P1
P1 XLK,A: sizer k=5,E_bear_2018q4,,,-0.04546238599676122,,modern_folds,-0.019349312742117708,2018-10-03,2018-10-25,2018-10-10,-0.03425129762651169,17.0,0.8383148346409206,P1
P1 XLK,A: sizer k=5,X_2020_covid,,,-0.0584239051876525,,modern_folds,0.1373965388261147,2020-02-19,2020-04-21,2020-03-03,-0.04274551105563773,44.0,0.40359961170278014,P1
P1 XLK,A: sizer k=5,B_bear_2022,,,-0.026812662391750064,,modern_folds,-0.010688371121581275,2022-01-03,2022-01-14,2022-01-14,-0.026812662391750064,10.0,0.38724746058766746,P1
P1 XLK,A: sizer k=5,E2007_09_gfc,,,-0.06938145297575049,,market_factor_A0_calendar,-0.009233982914772398,2007-10-31,2008-01-08,2007-12-04,-0.04319025892608075,47.0,0.6858981731133221,P1
P1 XLK,A: sizer k=5,E2011_eu_us,,,-0.06739237901172879,,market_factor_A0_calendar,-0.02437595607424259,2011-05-10,2011-08-19,2011-07-29,-0.06513426043506854,72.0,0.8478696629684265,P1
P1 XLK,A: sizer k=5,E2015_16_china,,,-0.034025200026964186,,market_factor_A0_calendar,-0.023364669761627765,2015-06-01,2015-11-13,2015-06-18,-0.01980836389028895,118.0,0.7568939712428562,P1
P1 XLK,A: sizer k=5,K2013_14_bull,,,-0.04277389272545662,,calm_controls,0.23865942053109945,2013-05-17,2013-06-24,,-0.04277389272545662,26.0,0.810411661859833,P1
P1 XLK,A: sizer k=5,A_bull_2021,,,-0.05387494825901307,,calm_controls,0.11934493038010552,2021-08-30,2021-11-01,2021-10-05,-0.05244374183087275,45.0,0.7885141945054617,P1
P1 XLK,A: sizer k=5,D_recent_2025plus,,,-0.056682866140211785,,calm_controls,0.29970709707867416,2025-10-29,2026-03-30,,-0.056682866140211785,104.0,0.48610065235488475,P1
P1 XLK,B: t+2 next-close,FULL,0.6502815512285571,1.8139149792161664,-0.10869585509785717,6.989244285150157,,,,,,,,,P1
P1 XLK,B: t+2 next-close,E_bear_2018q4,,,-0.08930743699943999,,modern_folds,-0.055765096894130894,2018-10-03,2018-10-24,2018-10-18,-0.08500642058351326,16.0,0.8527030303449432,P1
P1 XLK,B: t+2 next-close,X_2020_covid,,,-0.09345095128079606,,modern_folds,0.09778322804140815,2020-02-19,2020-03-12,2020-03-04,-0.07361944929380337,17.0,0.5569091522140065,P1
P1 XLK,B: t+2 next-close,B_bear_2022,,,-0.024550040784800498,,modern_folds,-0.005558282477368337,2022-01-03,2022-01-13,,-0.024550040784800498,9.0,0.380283948357943,P1
P1 XLK,B: t+2 next-close,E2007_09_gfc,,,-0.09455233364782989,,market_factor_A0_calendar,-0.018776657298417376,2007-10-31,2008-01-08,2007-12-05,-0.06812268868719895,47.0,0.6879056745064382,P1
P1 XLK,B: t+2 next-close,E2011_eu_us,,,-0.08366699343031636,,market_factor_A0_calendar,-0.039539995395317384,2011-05-10,2011-08-08,2011-08-08,-0.08366699343031636,63.0,0.8488133054633976,P1
P1 XLK,B: t+2 next-close,E2015_16_china,,,-0.025633328717413417,,market_factor_A0_calendar,-0.012768266440732368,2015-11-06,2015-11-13,,-0.025633328717413417,6.0,0.49374979425984905,P1
P1 XLK,B: t+2 next-close,K2013_14_bull,,,-0.04703920897679803,,calm_controls,0.1967249644541278,2013-05-17,2013-06-24,,-0.04703920897679803,26.0,0.8292675066709683,P1
P1 XLK,B: t+2 next-close,A_bull_2021,,,-0.0567138043459261,,calm_controls,0.11138460514679704,2021-08-30,2021-10-04,,-0.0567138043459261,25.0,0.7840593166831491,P1
P1 XLK,B: t+2 next-close,D_recent_2025plus,,,-0.07205728595512562,,calm_controls,0.2479995957932033,2025-10-29,2026-03-30,,-0.07205728595512562,104.0,0.4535062341123999,P1
P1 XLK,B: next-open,FULL,0.6551242297874793,1.6886110180993574,-0.10946837341140203,2.472591493967223,,,,,,,,,P1
P1 XLK,B: next-open,E_bear_2018q4,,,-0.08051456507926835,,modern_folds,-0.05462093116948641,2018-10-03,2018-10-24,2018-10-11,-0.0769058779008972,16.0,0.9000685512951682,P1
