ticker,arm,fold,start,end,days,Sharpe,MaxDD,Martin,Ulcer%,CAGR,TimeIn,OffFrac,Flips/yr
SPY,SlowSign,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.5302631128363156,-0.13461465319908905,-2.096619847483666,9.079883950492219,-0.19037064903450385,0.7295081967213115,0.2704918032786885,4.131147540983607
SPY,SlowSign,X_2020_covid,2020-02-03,2020-12-31,232,-0.08400563449116219,-0.3511696478802455,-0.2577930265548965,22.616870899394183,-0.05830471600356191,0.9224137931034483,0.07758620689655171,4.344827586206897
SPY,SlowSign,B_bear_2022,2022-01-03,2022-12-30,251,-1.7035162932071584,-0.23899126500724976,-1.1926043707137273,19.01302214244363,-0.22675013307555147,0.3904382470119522,0.6095617529880478,7.027888446215139
SPY,SlowSign,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,SlowSign,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,SlowSign,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.3602510074185044,-0.09976193175376957,9.160994547026753,2.363513215834346,0.21652131682084108,0.8406374501992032,0.15936254980079678,0.50199203187251
SPY,SlowSign,D_recent_2025plus,2025-01-02,2026-09-03,419,0.5054212107388218,-0.24042219459651926,1.7356847932347421,6.675688201889551,0.11586890496396274,0.9952267303102625,0.004773269689737458,2.4057279236276847
QQQ,Buy & hold,FULL,2005-03-16,2026-09-03,5402,0.6966367085007094,-0.5341365461847383,1.2463826532609046,12.53649824097057,0.1562527394018156,1.0,0.0,0.0
QQQ,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.5031077658821075,-0.22758581752484208,-1.304239321842696,10.343202273897912,-0.13490011119390444,1.0,0.0,0.0
QQQ,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,1.251031718692228,-0.2856139426664913,5.577902600699242,8.762236144285088,0.48874899777148695,1.0,0.0,0.0
QQQ,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-1.1098435722040219,-0.3482789507357644,-1.3663017364234176,23.922004279375983,-0.32684675985639833,1.0,0.0,0.0
QQQ,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.9348094159069578,-0.0824764821702032,13.789371261925123,2.00308400540348,0.27621269019332617,1.0,0.0,0.0
QQQ,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,1.421798245983131,-0.10852546587664624,8.69258927487501,3.1545812219246994,0.27421478896424745,1.0,0.0,0.0
QQQ,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.6717559469829437,-0.13557006529382232,10.919343833881548,3.630141665088832,0.39638765006804233,1.0,0.0,0.0
QQQ,Buy & hold,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8095040011540756,-0.22767673749859962,4.0136225885781736,5.571923258037321,0.2236359705028268,1.0,0.0,0.0
QQQ,trend λ5 rolling,FULL,2005-03-16,2026-09-03,5402,0.8529739165100796,-0.19456995917726627,2.491021764575187,5.722171980934982,0.1425405494515135,0.7034431691965939,0.2965568308034061,1.5860792299148463
QQQ,trend λ5 rolling,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.9196320680698813,-0.1133777213188798,-2.180293138662622,9.467988531881451,-0.2064299043299752,0.30327868852459017,0.6967213114754098,2.0655737704918034
QQQ,trend λ5 rolling,X_2020_covid,2020-02-03,2020-12-31,232,1.307605767307533,-0.19456995917726638,4.132479950790214,9.081323747416608,0.3752838831283418,0.896551724137931,0.10344827586206895,2.1724137931034484
QQQ,trend λ5 rolling,B_bear_2022,2022-01-03,2022-12-30,251,,0.0,inf,0.0,0.01293306058653898,0.0,1.0,0.0
QQQ,trend λ5 rolling,K_bull_2013_14,2013-01-02,2014-12-31,504,2.1144619907500717,-0.0742130750605331,15.36656190046204,1.697237632798636,0.26080707144193904,0.8035714285714286,0.1964285714285714,2.5
QQQ,trend λ5 rolling,A_bull_2021,2021-01-04,2021-12-31,252,0.841454833195109,-0.10852546587664624,3.588766205389812,3.951789165228466,0.14182047406997533,0.8888888888888888,0.11111111111111116,3.0
