ticker,arm,fold,start,end,days,Sharpe,MaxDD,Martin,Ulcer%,CAGR,TimeIn,OffFrac,Flips/yr,panel
SPY,VR own alone,B_bear_2022,2022-01-03,2022-12-30,251,,0.0,inf,0.0,0.01293306058653898,0.0,1.0,0.0,VR
SPY,VR own alone,K_bull_2013_14,2013-01-02,2014-12-31,504,,0.0,,0.0,0.0,0.0,1.0,0.0,VR
SPY,VR own alone,A_bull_2021,2021-01-04,2021-12-31,252,,0.0,,0.0,0.0,0.0,1.0,0.0,VR
SPY,VR own alone,C_mixed_2023_24,2023-01-03,2024-12-31,502,0.5390305361107555,-0.04682856107285249,5.623943972065947,1.3323850035171458,0.07493258609001319,0.11752988047808766,0.8824701195219123,2.00796812749004,VR
SPY,VR own alone,D_recent_2025plus,2025-01-02,2026-09-03,419,-1.0755772227923637,-0.12243770203444948,-0.32655264827396485,8.899199882435235,-0.02906057289128583,0.1026252983293556,0.8973747016706444,1.2028639618138424,VR
SPY,VR SPY alone,FULL,1999-01-27,2026-09-03,6944,-0.15706984773500257,-0.12243770203444959,0.5610469924002911,2.584856942515102,0.0145022621338311,0.039026497695852536,0.9609735023041475,0.43548387096774194,VR
SPY,VR SPY alone,E_bear_2018q4,2018-09-04,2019-02-28,122,,0.0,inf,0.0,0.02551891198769396,0.0,1.0,0.0,VR
SPY,VR SPY alone,X_2020_covid,2020-02-03,2020-12-31,232,,0.0,inf,0.0,0.004463155962711518,0.0,1.0,0.0,VR
SPY,VR SPY alone,B_bear_2022,2022-01-03,2022-12-30,251,,0.0,inf,0.0,0.01293306058653898,0.0,1.0,0.0,VR
SPY,VR SPY alone,K_bull_2013_14,2013-01-02,2014-12-31,504,,0.0,,0.0,0.0,0.0,1.0,0.0,VR
SPY,VR SPY alone,A_bull_2021,2021-01-04,2021-12-31,252,,0.0,,0.0,0.0,0.0,1.0,0.0,VR
SPY,VR SPY alone,C_mixed_2023_24,2023-01-03,2024-12-31,502,0.5390305361107555,-0.04682856107285249,5.623943972065947,1.3323850035171458,0.07493258609001319,0.11752988047808766,0.8824701195219123,2.00796812749004,VR
SPY,VR SPY alone,D_recent_2025plus,2025-01-02,2026-09-03,419,-1.0755772227923637,-0.12243770203444948,-0.32655264827396485,8.899199882435235,-0.02906057289128583,0.1026252983293556,0.8973747016706444,1.2028639618138424,VR
SPY,Buy & hold,FULL,2006-07-18,2026-09-03,5065,0.5750228257362071,-0.5519076395778841,0.9033305636774844,12.763124833232625,0.11529320749890126,1.0,0.0,0.0,VIX
SPY,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.36326100968423153,-0.19346772332076612,-0.7669972487538959,7.969214229417136,-0.061123653886933416,1.0,0.0,0.0,VIX
SPY,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,0.6898896052536961,-0.33717009273069154,1.8966374461037052,10.604383570471995,0.20112670972604096,1.0,0.0,0.0,VIX
SPY,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-0.7624118230643652,-0.24496106785317096,-1.21132774252496,15.057066082463114,-0.18239041866719186,1.0,0.0,0.0,VIX
SPY,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0,VIX
SPY,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0,VIX
SPY,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.4529897452536387,-0.09976193175376957,9.606917133890514,2.669002771461786,0.256408884555575,1.0,0.0,0.0,VIX
SPY,Buy & hold,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8195963655275866,-0.18754770834024748,4.700879062981617,3.966424628037595,0.1864568248883658,1.0,0.0,0.0,VIX
SPY,trend λ5 rolling,FULL,2006-07-18,2026-09-03,5065,0.7570511061439199,-0.18613348676639807,1.9427060596975765,5.463708464257488,0.1061437954193396,0.6843040473840079,0.31569595261599215,1.5921026653504444,VIX
SPY,trend λ5 rolling,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.4418318243686765,-0.0687081634223281,-1.6742709555869764,4.952831849985747,-0.08292382514337249,0.28688524590163933,0.7131147540983607,2.0655737704918034,VIX
SPY,trend λ5 rolling,X_2020_covid,2020-02-03,2020-12-31,232,0.8906197357659956,-0.1318117757804873,2.072600949810245,7.908242560707082,0.16390631042651305,0.75,0.25,2.1724137931034484,VIX
SPY,trend λ5 rolling,B_bear_2022,2022-01-03,2022-12-30,251,-2.179512128811603,-0.0937214238042271,-0.8628570943644459,8.926277823972383,-0.07702102146682599,0.06772908366533864,0.9322709163346614,1.00398406374502,VIX
SPY,trend λ5 rolling,K_bull_2013_14,2013-01-02,2014-12-31,504,1.594151669874192,-0.07272286528089233,7.428902347144027,2.3571228959358463,0.17510835814124737,0.9007936507936508,0.09920634920634919,0.5,VIX
SPY,trend λ5 rolling,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0,VIX
SPY,trend λ5 rolling,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.1207278438515558,-0.08405219282348686,7.773157870276906,2.128341289189149,0.1654393284269593,0.6414342629482072,0.35856573705179284,1.5059760956175299,VIX
SPY,trend λ5 rolling,D_recent_2025plus,2025-01-02,2026-09-03,419,0.914436089068064,-0.1003451594703132,4.631064960163887,3.4732533066252658,0.16084861686085627,0.9116945107398569,0.08830548926014314,2.4057279236276847,VIX
SPY,trend x VIX term,FULL,2006-07-18,2026-09-03,5065,0.6123820367620401,-0.19872117699522807,1.0966682359990252,7.0413366970537625,0.07722010294633153,0.628035538005923,0.37196446199407696,9.900888450148075,VIX
SPY,trend x VIX term,E_bear_2018q4,2018-09-04,2019-02-28,122,-2.093520886024299,-0.06367938998877798,-1.72072172199966,5.243503503677799,-0.09022610378159712,0.23770491803278687,0.7622950819672132,6.19672131147541,VIX
SPY,trend x VIX term,X_2020_covid,2020-02-03,2020-12-31,232,1.4119747831270886,-0.09440548826761408,5.783611017238861,3.847557409727694,0.22252775424360105,0.6724137931034483,0.3275862068965517,7.603448275862069,VIX
SPY,trend x VIX term,B_bear_2022,2022-01-03,2022-12-30,251,-2.179512128811603,-0.0937214238042271,-0.8628570943644459,8.926277823972383,-0.07702102146682599,0.06772908366533864,0.9322709163346614,1.00398406374502,VIX
SPY,trend x VIX term,K_bull_2013_14,2013-01-02,2014-12-31,504,1.2562859207893262,-0.06042821743759119,5.6911985035243555,2.2052943251313453,0.12550767763018267,0.8511904761904762,0.14880952380952384,11.5,VIX
SPY,trend x VIX term,A_bull_2021,2021-01-04,2021-12-31,252,1.805022212362911,-0.05120854849839318,15.425576221807253,1.633457583790586,0.2519702446385079,0.9920634920634921,0.007936507936507908,4.0,VIX
SPY,trend x VIX term,C_mixed_2023_24,2023-01-03,2024-12-31,502,0.8921529055953106,-0.057333207683943566,6.259825701510251,2.1464427220391205,0.1343635731824011,0.6235059760956175,0.37649402390438247,6.525896414342629,VIX
SPY,trend x VIX term,D_recent_2025plus,2025-01-02,2026-09-03,419,0.9050853516348069,-0.08989858191101496,5.17702622674283,2.9341074027443126,0.15189950976087596,0.8615751789976134,0.13842482100238662,13.231503579952266,VIX
SPY,VIX term alone,FULL,2006-07-18,2026-09-03,5065,0.5366774481156532,-0.42105910898473464,0.6968322480134624,12.138798555905279,0.08458706285894046,0.8908193484698914,0.10918065153010859,14.876209279368215,VIX
SPY,VIX term alone,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.1739509702535342,-0.15522297017737952,-1.2531042499141056,9.628232604021484,-0.12065179195260878,0.7213114754098361,0.2786885245901639,41.31147540983606,VIX
SPY,VIX term alone,X_2020_covid,2020-02-03,2020-12-31,232,1.7678505726417497,-0.09440548826761375,8.863848492918343,3.6448242393419066,0.3230716984084301,0.7758620689655172,0.22413793103448276,7.603448275862069,VIX
SPY,VIX term alone,B_bear_2022,2022-01-03,2022-12-30,251,-1.148269037245027,-0.3009368108574436,-1.2113552369093417,20.31616374649782,-0.24610091348227847,0.9402390438247012,0.05976095617529875,18.071713147410357,VIX
SPY,VIX term alone,K_bull_2013_14,2013-01-02,2014-12-31,504,1.4992989779911536,-0.06042821743759119,8.836938515559297,1.8414567258449417,0.16272839865354882,0.9464285714285714,0.0535714285714286,14.0,VIX
SPY,VIX term alone,A_bull_2021,2021-01-04,2021-12-31,252,1.805022212362911,-0.05120854849839318,15.425576221807253,1.633457583790586,0.2519702446385079,0.9920634920634921,0.007936507936507908,4.0,VIX
SPY,VIX term alone,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.2840904355938976,-0.09976193175376957,8.306720108887035,2.6834596158314143,0.22290747952213086,0.9820717131474104,0.017928286852589626,5.0199203187251,VIX
SPY,VIX term alone,D_recent_2025plus,2025-01-02,2026-09-03,419,1.0165501580968235,-0.08989858191101496,6.1735553277709725,2.7682150872190223,0.17089729000116982,0.9069212410501193,0.09307875894988071,14.43436754176611,VIX
QQQ,Buy & hold,FULL,2005-03-16,2026-09-03,5402,0.6966367085007094,-0.5341365461847383,1.2463826532609046,12.53649824097057,0.1562527394018156,1.0,0.0,0.0,VR
QQQ,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.5031077658821075,-0.22758581752484208,-1.304239321842696,10.343202273897912,-0.13490011119390444,1.0,0.0,0.0,VR
QQQ,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,1.251031718692228,-0.2856139426664913,5.577902600699242,8.762236144285088,0.48874899777148695,1.0,0.0,0.0,VR
QQQ,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-1.1098435722040219,-0.3482789507357644,-1.3663017364234176,23.922004279375983,-0.32684675985639833,1.0,0.0,0.0,VR
QQQ,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.9348094159069578,-0.0824764821702032,13.789371261925123,2.00308400540348,0.27621269019332617,1.0,0.0,0.0,VR
QQQ,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,1.421798245983131,-0.10852546587664624,8.69258927487501,3.1545812219246994,0.27421478896424745,1.0,0.0,0.0,VR
QQQ,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.6717559469829437,-0.13557006529382232,10.919343833881548,3.630141665088832,0.39638765006804233,1.0,0.0,0.0,VR
