vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,Flips/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 EDC,E_3s,FULL,0.23844279520958758,0.13574251382199207,-0.5228348350389247,2.682102077626871,1.9012345679012346,,,,,,,,,P2
P2 EDC,E_3s,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,E_3s,X_2020_covid,1.5444925207571887,,-0.1731881723312716,,,modern_folds,0.35913958056960116,2020-02-12,2020-06-11,2020-03-02,-0.13345291440824336,84.0,0.49764782900355903,P2
P2 EDC,E_3s,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,E_3s,E2011_eu_us,-2.0260666390063786,,-0.337142106608306,,,market_factor_A0_calendar,-0.32684517018651305,2011-05-02,2011-09-22,2011-08-09,-0.2756196440424198,101.0,0.5109390665519562,P2
P2 EDC,E_3s,E2015_16_china,0.2862924255387102,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,E_3s,K2013_14_bull,-1.0104220922416225,,-0.26755105872915463,,,calm_controls,-0.22474960515214693,2013-01-02,2013-06-12,2013-03-18,-0.1414282326295332,112.0,0.8637093151852135,P2
P2 EDC,E_3s,A_bull_2021,-0.47461517424340915,,-0.3040629623221782,,,calm_controls,-0.1639540134092583,2021-02-17,2021-11-29,2021-11-29,-0.3040629623221782,199.0,0.4566302884392336,P2
P2 EDC,E_3s,D_recent_2025plus,1.2039728408297206,,-0.22607587804660656,,,calm_controls,0.8735590984462716,2025-02-20,2025-04-08,2025-04-08,-0.22607587804660656,34.0,0.6793319057717853,P2
P2 EDC,F_exit2,FULL,0.2577137571856494,0.1590273419174418,-0.5274938853385129,2.7277898938151903,2.1316872427983538,,,,,,,,,P2
P2 EDC,F_exit2,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,F_exit2,X_2020_covid,1.684572074049139,,-0.15133034657705624,,,modern_folds,0.39507016977212017,2020-02-12,2020-06-11,2020-02-26,-0.11081141965555008,84.0,0.49764782900355903,P2
P2 EDC,F_exit2,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,F_exit2,E2011_eu_us,-2.0902692714214473,,-0.337142106608306,,,market_factor_A0_calendar,-0.33213950813813053,2011-05-02,2011-09-22,2011-08-09,-0.2756196440424198,101.0,0.5109390665519562,P2
P2 EDC,F_exit2,E2015_16_china,0.2862924255387102,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,F_exit2,K2013_14_bull,-1.0849939016971137,,-0.2498732199541137,,,calm_controls,-0.20603874256747512,2013-01-02,2013-06-12,2013-02-22,-0.12022041386746274,112.0,0.8637093151852135,P2
P2 EDC,F_exit2,A_bull_2021,-0.23280717353165467,,-0.2670240139384258,,,calm_controls,-0.09976711554653717,2021-02-17,2021-10-04,,-0.2670240139384258,160.0,0.4566302884392336,P2
P2 EDC,F_exit2,D_recent_2025plus,1.0338954006044914,,-0.22687732614598277,,,calm_controls,0.6980718351372632,2025-02-20,2025-04-25,2025-04-08,-0.22607587804660656,46.0,0.6793319057717853,P2
P2 EDC,F_exit1,FULL,0.18853733462475847,0.09901331543135039,-0.5322128478307668,3.03224169664826,2.707818930041152,,,,,,,,,P2
P2 EDC,F_exit1,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,F_exit1,X_2020_covid,1.3899000483512463,,-0.13726212370611057,,,modern_folds,0.30020280198246474,2020-02-12,2020-06-11,,-0.13726212370611057,84.0,0.0,P2
P2 EDC,F_exit1,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,F_exit1,E2011_eu_us,-2.177449544342162,,-0.3372420744083674,,,market_factor_A0_calendar,-0.3417745455283414,2011-05-02,2011-09-23,2011-08-09,-0.2756196440424198,102.0,0.5109390665519562,P2
P2 EDC,F_exit1,E2015_16_china,0.2862924255387102,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,F_exit1,K2013_14_bull,-1.0145055488672015,,-0.21382772165735342,,,calm_controls,-0.17502096123696131,2013-01-02,2013-06-13,2013-02-12,-0.09144867011836,113.0,0.8275799312618571,P2
P2 EDC,F_exit1,A_bull_2021,-0.44550958360600923,,-0.2939376134320576,,,calm_controls,-0.14921315006282676,2021-02-17,2021-11-02,2021-10-07,-0.2670240139384258,181.0,0.4566302884392336,P2
P2 EDC,F_exit1,D_recent_2025plus,1.023889943111009,,-0.21552448802413038,,,calm_controls,0.6903125209428445,2025-02-20,2025-04-08,2025-04-08,-0.21552448802413038,34.0,0.6793319057717853,P2
P2 EDC,G_own,FULL,0.23444273911337063,0.13612665795446666,-0.48763151246126346,3.6780868006733978,,,,,,,,,,P2
P2 EDC,G_own,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
