date,SPY,FCNTX
2021-11-08,592.6741039,36.12757784
2021-11-09,590.7150805,36.09265509
2021-11-10,585.9628688,35.51642983
2021-11-11,586.1524517,35.6561208
2021-11-12,590.576053,36.17996195
2021-11-15,590.7782748,36.2148847
2021-11-16,593.1164641,36.40695978
2021-11-17,591.6756339,36.24980744
2021-11-18,593.6852128,36.44188253
2021-11-19,592.6235485,36.49426664
2021-11-22,590.9552189,35.98788686
2021-11-23,591.7388282,35.91804138
2021-11-24,593.3186858,36.09265509
2021-11-26,580.0857985,35.37673886
2021-11-29,587.2014772,35.90058001
2021-11-30,575.7759469,35.13227966
2021-12-01,569.3806833,34.41636342
2021-12-02,578.1014973,34.78305222
2021-12-03,573.0712307,34.29413382
2021-12-06,579.858299,34.64336125
2021-12-07,591.852578,35.55135257
2021-12-08,593.4197967,35.70850492
2021-12-09,589.4132778,35.39420023
2021-12-10,594.9617378,35.63342102
2021-12-13,589.6913328,35.31086077
2021-12-14,585.6342584,34.95035225
2021-12-15,594.7847937,35.65239515
2021-12-16,589.5396664,35.02624878
2021-12-17,583.2872219,34.72266266
2021-12-20,577.0848723,34.28625761
2021-12-21,587.3333355,35.02624878
2021-12-22,593.2059078,35.31086077
2021-12-23,596.8968766,35.50060209
2021-12-27,605.3442485,36.01290367
2021-12-28,604.8495826,35.89905888
2021-12-29,605.6232908,35.88008475
2021-12-30,603.9490369,35.82316235
2021-12-31,602.4269879,35.59547276
2022-01-03,605.9150168,35.69034342
2022-01-04,605.712077,35.40573143
2022-01-05,594.081086,34.4001024
2022-01-06,593.5230014,34.4001024
2022-01-07,591.1765092,34.17241281
2022-01-10,590.4408522,34.07754215
2022-01-11,595.8187586,34.5139472
2022-01-12,597.4295938,34.58984373
2022-01-13,589.1978455,33.84985256
2022-01-14,589.4388366,33.92574909
2022-01-18,579.0001173,33.14780965
2022-01-19,572.9880238,32.90114593
2022-01-20,566.6461531,32.48371501
2022-01-21,555.5225117,31.59193078
2022-01-24,557.8816877,31.7816721
2022-01-25,551.0705185,31.15552573
2022-01-26,549.6879906,31.1365516
2022-01-27,546.9736699,31.00373267
2022-01-28,560.5579571,31.8385945
2022-01-31,570.6542154,32.67345634
2022-02-01,574.5100728,33.01499072
2022-02-02,580.0909191,33.37549924
2022-02-03,566.4558969,31.62987904
2022-02-04,569.1194827,32.11371942
2022-02-07,567.2930239,31.88310025
2022-02-08,571.9606408,32.13293769
2022-02-09,580.3319102,32.74792214
2022-02-10,569.9058746,32.15215595
2022-02-11,558.6680796,31.32577059
2022-02-14,556.8416209,31.2681158
2022-02-15,565.8217099,31.82544546
2022-02-16,566.4558969,31.8062272
2022-02-17,554.3556075,30.97984184
2022-02-18,550.7661087,30.69156788
2022-02-22,544.8554851,30.36485739
2022-02-23,535.1904741,29.7690912
2022-02-24,543.2446499,30.49938523
2022-02-25,555.2307857,31.09515142
2022-02-28,553.8102066,31.07593316
2022-03-01,545.3755185,30.59547656
2022-03-02,555.4083581,31.07593316
2022-03-03,552.6433024,30.71078614
2022-03-04,548.1532579,30.32642086
2022-03-07,531.9941712,29.2309798
2022-03-08,527.9607414,29.07723369
2022-03-09,542.1157969,30.05736516
2022-03-10,539.6678348,29.9804921
2022-03-11,532.8059306,29.51925376
2022-03-14,528.912022,29.19254327
2022-03-15,540.543013,29.90361904
2022-03-16,552.5291487,30.7876592
2022-03-17,559.4417879,31.2681158
2022-03-18,565.5502905,31.76779067
2022-03-21,565.3848951,31.72935414
2022-03-22,572.0007088,32.11371942
