vehicle,arm,Sharpe,Martin,MaxDD,CAGR,MeanW,fastMaxDD
EFA,H_parity,0.26180102429710506,0.8221127846382084,-0.06820692677416784,0.024119364631139062,0.21103594106836968,-0.03113516927607657
EFA,incumbent x0.5,0.2686691493207824,0.8277631822002333,-0.07131591746019283,0.024611733747860187,0.21510188979191364,-0.03278690304681192
EFA,incumbent x0.49,0.26866914932078234,0.8410942763157283,-0.06991655338236202,0.02443636602221244,0.2110359410683697,-0.032153807600105166
EEM,incumbent,0.22383690157652103,0.26306671885435,-0.20847966348529468,0.02847731872959902,0.3116251731155772,-0.02975319156574252
EEM,H_parity,0.2219998264469285,0.436654522676897,-0.10585987598886737,0.021779293623398033,0.15314067753606792,-0.013671869408117321
EEM,incumbent x0.5,0.22122504397456025,0.4240455327845141,-0.10877117751053678,0.02189697226453302,0.1558125865577886,-0.014257461665137638
EEM,incumbent x0.49,0.22122504397456014,0.42967574459990515,-0.10697858798939353,0.021775149609845945,0.15314067753606794,-0.01398801989937093
TLT,incumbent,0.13749907226514158,0.21809376141317913,-0.1639494170820518,0.02088463430397991,0.3098041643726249,-0.0407984803429049
TLT,H_parity,0.1428359382404291,0.4204958655045725,-0.08145217997524912,0.017995024846850338,0.15109922143617274,-0.02029674950402327
TLT,incumbent x0.5,0.13592412062629367,0.4035151102143605,-0.08321207894188654,0.01784776282540812,0.15490208218631246,-0.02063425844952138
TLT,incumbent x0.49,0.13592412062629364,0.41247131467326287,-0.08115720722188668,0.017761585145519065,0.15109922143617271,-0.020133079371178197
GLD,incumbent,0.450163737186781,0.42737327014659376,-0.2423477213534624,0.04724596817291293,0.35658794605984623,-0.05309357258478958
GLD,H_parity,0.4513829032660632,0.6042477684319902,-0.1190767073030845,0.031700439660411917,0.17375270679338617,-0.026170775955811965
GLD,incumbent x0.5,0.44823221293266713,0.6048512628494758,-0.11992538464304148,0.03191753281372711,0.17829397302992311,-0.02664918349796508
GLD,incumbent x0.49,0.44823221293266696,0.6143547190478191,-0.116629307151074,0.03151509655009499,0.1737527067933862,-0.025967639995327974
UPRO,incumbent,0.6716283741348641,1.1236871785348888,-0.3274987803631696,0.1602914358540568,0.5433776147706093,-0.20920915840264415
UPRO,H_parity,0.6340692036283107,1.2872479545315003,-0.15365456299476,0.08376346327344608,0.25861012851573256,-0.10158525470304519
UPRO,incumbent x0.5,0.6700786921939527,1.3828301971383679,-0.16765271209262078,0.09295058889095498,0.27168880738530465,-0.10791160649127224
UPRO,incumbent x0.48,0.6700786921939528,1.4045004061321933,-0.16000111385149263,0.08940671238543163,0.25861012851573256,-0.10287396787669573
TQQQ,incumbent,0.8640145313316812,1.8003476112354473,-0.29413157041171745,0.2234639123185982,0.4459190402244943,-0.24018210805204948
TQQQ,H_parity,0.8384976981011241,1.9572655128326895,-0.13727259344581333,0.11340886783729243,0.2118675206842533,-0.11588059559748409
TQQQ,incumbent x0.5,0.861571904148185,2.068662030746906,-0.15256865733483815,0.12306162349938621,0.22295952011224715,-0.12456735346762549
TQQQ,incumbent x0.48,0.8615719041481852,2.0956321240040077,-0.1451025397891056,0.11784337066324668,0.21186752068425327,-0.11856092684245617
TECL,incumbent,0.7938927329560135,1.6369540606817796,-0.3233111941204041,0.2017310504500467,0.4306011832787021,-0.24634220565238601
TECL,H_parity,0.7634294981090384,1.7535646676995669,-0.1476282473915287,0.10254169111011824,0.2032080014594934,-0.11925339156260617
TECL,incumbent x0.5,0.7911270603333971,1.9071774916072248,-0.16289782929939745,0.11257394291297906,0.21530059163935106,-0.1280764718432979
TECL,incumbent x0.47,0.791127060333397,1.9352325846472884,-0.15319040078578983,0.10726589503480355,0.2032080014594934,-0.12107702940569254
TNA,incumbent,0.41366359155250376,0.5111212350714855,-0.41913887727629817,0.08345785085312318,0.30692583217831687,-0.2308380574354324
TNA,H_parity,0.38058319401884316,0.6481263804679396,-0.17806905184409538,0.048256293225429125,0.14377036386255643,-0.10287990917215611
TNA,incumbent x0.5,0.41118096112754404,0.6993005509455514,-0.20595647614824086,0.054072586672836875,0.15346291608915844,-0.12060751345197579
TNA,incumbent x0.47,0.41118096112754404,0.7214095952153926,-0.19084727408438762,0.05185342957573269,0.14377036386255643,-0.11321486098068323
EDC,incumbent,0.23844279520958758,0.13574251382199207,-0.5228348350389247,0.04312301225256099,0.3152838327581816,-0.0865940861656358
EDC,H_parity,0.23162318083031466,0.22569513467110838,-0.2743588760167114,0.03336053007953432,0.147607753564831,-0.03860860284859047
EDC,incumbent x0.5,0.23585967679702244,0.21413097489573066,-0.29651514673636825,0.03486324391246454,0.1576419163790908,-0.044173478351850426
EDC,incumbent x0.47,0.23585967679702258,0.2228713131224991,-0.2797708875455366,0.03392525473681407,0.14760775356483102,-0.041358925357902976
TMF,incumbent,0.12044223259903723,0.06864044591478008,-0.5688658211613138,0.01901521557719965,0.2960793017852229,-0.12108402958807213
