vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 TECL,buy_hold,X_2020_covid,0.9954295874538015,,,-0.7510631337912987,,,modern_folds,0.525630593978843,2020-02-19,2020-03-23,,-0.7510631337912987,24.0,1.0,P2
P2 TECL,buy_hold,B_bear_2022,-0.9128743626931253,,,-0.7750700621420735,,,modern_folds,-0.7431077694235586,2022-01-03,2022-10-12,,-0.7750700621420735,196.0,1.0,P2
P2 TECL,buy_hold,E2011_eu_us,-0.203726909057841,,,-0.47733620689655165,,,market_factor_A0_calendar,-0.28567241379310393,2011-05-10,2011-08-19,,-0.47733620689655165,72.0,1.0,P2
P2 TECL,buy_hold,E2015_16_china,0.2998461617246612,,,-0.36438356164383556,,,market_factor_A0_calendar,0.0028011204481774854,2015-07-20,2015-08-25,,-0.36438356164383556,27.0,1.0,P2
P2 TECL,buy_hold,K2013_14_bull,1.6249995683479115,,,-0.22999999999999965,,,calm_controls,1.846846846846847,2014-09-18,2014-10-16,,-0.22999999999999965,21.0,1.0,P2
P2 TECL,buy_hold,A_bull_2021,1.6006925527742544,,,-0.2645407590388502,,,calm_controls,1.1280000000000046,2021-02-12,2021-03-08,,-0.2645407590388502,16.0,1.0,P2
P2 TECL,buy_hold,D_recent_2025plus,0.9854723128393231,,,-0.6270391299712124,,,calm_controls,1.3778959810874696,2025-01-23,2025-04-08,,-0.6270391299712124,53.0,1.0,P2
P2 TNA,incumbent,FULL,0.41366359155250376,0.08345785085312318,0.5111212350714855,-0.41913887727629817,0.30692583217831687,2.315941092591896,,,,,,,,,P2
P2 TNA,incumbent,E_bear_2018q4,-2.2331540938716836,,,-0.1766269401817232,,,modern_folds,-0.14704877879027334,2018-09-04,2018-10-10,2018-10-10,-0.1766269401817232,27.0,0.9976627127256008,P2
P2 TNA,incumbent,X_2020_covid,0.7840753590566114,,,-0.2850491746891416,,,modern_folds,0.1575540325000626,2020-02-20,2020-09-23,2020-02-28,-0.19881896693691614,151.0,0.6872651634719729,P2
P2 TNA,incumbent,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TNA,incumbent,E2011_eu_us,-1.1356109997681232,,,-0.32063821107532653,,,market_factor_A0_calendar,-0.24524114775019445,2011-05-10,2011-10-03,2011-08-05,-0.234752304529117,102.0,0.6534997093321329,P2
P2 TNA,incumbent,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P2
P2 TNA,incumbent,K2013_14_bull,0.8798272301760788,,,-0.18084894600139867,,,calm_controls,0.5027509411888924,2014-01-22,2014-05-15,,-0.18084894600139867,80.0,0.855062235405155,P2
P2 TNA,incumbent,A_bull_2021,0.5372976958594865,,,-0.19040892247336838,,,calm_controls,0.12338861204169627,2021-11-08,2021-12-01,,-0.19040892247336838,17.0,0.5502676715000104,P2
P2 TNA,incumbent,D_recent_2025plus,0.7077196441821177,,,-0.16804688418091873,,,calm_controls,0.358385497142816,2026-01-22,2026-03-31,2026-03-31,-0.16804688418091873,48.0,0.6269875709322084,P2
P2 TNA,H_parity,FULL,0.38058319401884316,0.048256293225429125,0.6481263804679396,-0.17806905184409538,0.14377036386255643,1.4009345434863725,,,,,,,,,P2
P2 TNA,H_parity,E_bear_2018q4,-2.188496135725279,,,-0.0747293350275634,,,modern_folds,-0.054946278204591414,2018-09-04,2018-10-10,2018-10-10,-0.0747293350275634,27.0,0.4409929378741768,P2
P2 TNA,H_parity,X_2020_covid,0.7496743260656478,,,-0.13103048331674882,,,modern_folds,0.07001396685553885,2020-02-20,2020-09-23,2020-02-28,-0.09311105611016213,151.0,0.32818341989810074,P2
P2 TNA,H_parity,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
